date,headline,url
2009-06-25,New Medical Study Shows TASER Device Has Minimal Physiological Effect On Humans in Simulated Arrest Scenarios,https://investor.axon.com/press-releases/press-release-details/2009/New-Medical-Study-Shows-TASER-Device-Has-Minimal-Physiological-Effect-On-Humans-in-Simulated-Arrest-Scenarios/default.aspx
2009-06-25,UPDATING and REPLACING -- New Medical Study Shows TASER Device Has Minimal Physiological Effect On Humans in Simulated Arrest Scenarios,https://investor.axon.com/press-releases/press-release-details/2009/UPDATING-and-REPLACING----New-Medical-Study-Shows-TASER-Device-Has-Minimal-Physiological-Effect-On-Humans-in-Simulated-Arrest-Scenarios/default.aspx
2009-06-11,Baby With Knife Held to Her Throat Saved by Amherst Police Use of TASER X26,https://investor.axon.com/press-releases/press-release-details/2009/Baby-With-Knife-Held-to-Her-Throat-Saved-by-Amherst-Police-Use-of-TASER-X26/default.aspx
2010-11-24,"TASER International, Inc. Announces Commencement of Employee Stock Option Exchange",https://investor.axon.com/press-releases/press-release-details/2010/TASER-International-Inc-Announces-Commencement-of-Employee-Stock-Option-Exchange/default.aspx
2010-10-27,TASER International Reports Third Quarter Results,https://investor.axon.com/press-releases/press-release-details/2010/TASER-International-Reports-Third-Quarter-Results-20101027000000/default.aspx
2011-10-31,TASER International Reports Third Quarter Results,https://investor.axon.com/press-releases/press-release-details/2011/TASER-International-Reports-Third-Quarter-Results/default.aspx
2011-10-25,"TASER to Release Third Quarter 2011 Earnings on October 31, 2011",https://investor.axon.com/press-releases/press-release-details/2011/TASER-to-Release-Third-Quarter-2011-Earnings-on-October-31-2011/default.aspx
2012-12-21,TASER Chosen to Represent Future of Business in New Documentary Film,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Chosen-to-Represent-Future-of-Business-in-New-Documentary-Film/default.aspx
2012-12-20,TASER Receives Significant X2 Orders,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Receives-Significant-X2-Orders/default.aspx
2012-12-19,"TASER Honors 100,000 Lives Saved by Partnering With Arbor Day Foundation",https://investor.axon.com/press-releases/press-release-details/2012/TASER-Honors-100000-Lives-Saved-by-Partnering-With-Arbor-Day-Foundation/default.aspx
2012-12-13,TASER Obtains Defense Verdict in Missouri Litigation,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Obtains-Defense-Verdict-in-Missouri-Litigation/default.aspx
2012-12-06,TASER Receives Four Large Orders,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Receives-Four-Large-Orders/default.aspx
2012-10-26,TASER Q3 Revenues Up 18% to $28.8 Million,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Q3-Revenues-Up-18-to-288-Million/default.aspx
2012-10-22,"TASER to Release Third Quarter 2012 Earnings on October 26, 2012",https://investor.axon.com/press-releases/press-release-details/2012/TASER-to-Release-Third-Quarter-2012-Earnings-on-October-26-2012/default.aspx
2012-10-22,Danny Dalal Joins TASER as VP of Software Engineering,https://investor.axon.com/press-releases/press-release-details/2012/Danny-Dalal-Joins-TASER-as-VP-of-Software-Engineering/default.aspx
2012-10-18,TASER Announces Trademark Issue Concerning Antoine di Zazzo,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Announces-Trademark-Issue-Concerning-Antoine-di-Zazzo/default.aspx
2012-10-10,On-Officer Video Systems by TASER Gain Market Traction,https://investor.axon.com/press-releases/press-release-details/2012/On-Officer-Video-Systems-by-TASER-Gain-Market-Traction/default.aspx
2012-10-02,TASER Receives Two Large Orders for X2 ECD Upgrades,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Receives-Two-Large-Orders-for-X2-ECD-Upgrades/default.aspx
2012-10-01,"TASER Foundation Donates $300,000 to International Association of Chiefs of Police",https://investor.axon.com/press-releases/press-release-details/2012/TASER-Foundation-Donates-300000-to-International-Association-of-Chiefs-of-Police/default.aspx
2012-09-17,Sunbelt Law Enforcement Agencies Upgrade to New TASER X2 ECDs,https://investor.axon.com/press-releases/press-release-details/2012/Sunbelt-Law-Enforcement-Agencies-Upgrade-to-New-TASER-X2-ECDs/default.aspx
2012-09-10,Pittsburgh Bureau of Police Purchase AXON Flex On-Officer Cameras,https://investor.axon.com/press-releases/press-release-details/2012/Pittsburgh-Bureau-of-Police-Purchase-AXON-Flex-On-Officer-Cameras/default.aspx
2012-08-16,New Jersey State Police Places First Order for TASER X2 ECDs With TASER CAM HD Video Recorders,https://investor.axon.com/press-releases/press-release-details/2012/New-Jersey-State-Police-Places-First-Order-for-TASER-X2-ECDs-With-TASER-CAM-HD-Video-Recorders/default.aspx
2012-08-15,TASER Receives Significant International Order,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Receives-Significant-International-Order/default.aspx
2012-07-26,TASER International Reports Second Quarter Results,https://investor.axon.com/press-releases/press-release-details/2012/TASER-International-Reports-Second-Quarter-Results/default.aspx
2012-07-26,Colorado Springs Police Orders 525 TASER X2 ECDs,https://investor.axon.com/press-releases/press-release-details/2012/Colorado-Springs-Police-Orders-525-TASER-X2-ECDs/default.aspx
2012-07-25,TASER Receives Significant International Orders,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Receives-Significant-International-Orders/default.aspx
2012-07-20,"TASER to Release Second Quarter 2012 Earnings on July 26, 2012",https://investor.axon.com/press-releases/press-release-details/2012/TASER-to-Release-Second-Quarter-2012-Earnings-on-July-26-2012/default.aspx
2012-06-20,Modesto Police Purchase AXON Flex On-Officer Cameras,https://investor.axon.com/press-releases/press-release-details/2012/Modesto-Police-Purchase-AXON-Flex-On-Officer-Cameras/default.aspx
